time,event_type,bot_id,rack_id,stop_index,exit_id,leg_type,from_node,to_node,travel_start,travel_end,distance_m,n_turns,travel_time_s,queue_delay_s,service_start,service_end,release_time_s,n_os_stop,n_os,n_stops,trip_start,trip_end,trip_duration_s,travel_distance_total,travel_time_total,queue_time_total,release_time_total,cycle_time_total
3392.75,return_leg,BOT_27,RACK_600,1.0,EXIT_22,last_exit_to_return,EXIT_22,return,3344.5,3392.75,33.8,3.0,48.24999999999999,,,,,,,,,,,,,,,
3392.75,trip_completed,BOT_27,RACK_600,,,,,,,,,,,,,,,,1.0,1.0,3292.0,3392.75,100.75,67.8,94.75,0.0,6.0,100.75
3395.625,exit_stop_service,BOT_16,RACK_601,1.0,EXIT_10,,,,,,,,,0.0,3389.625,3395.625,6.0,1.0,,,,,,,,,,
3398.75,travel_leg,BOT_38,RACK_605,1.0,EXIT_25,receiving_to_first_exit,receiving,EXIT_25,3324.5,3398.75,56.19999999999999,2.0,74.24999999999999,,,,,,,,,,,,,,,
3399.25,return_leg,BOT_12,RACK_592,1.0,EXIT_26,last_exit_to_return,EXIT_26,return,3314.0,3399.25,63.39999999999999,3.0,85.24999999999999,,,,,,,,,,,,,,,
3399.25,trip_completed,BOT_12,RACK_592,,,,,,,,,,,,,,,,1.0,1.0,3224.5,3399.25,174.75,126.99999999999999,168.74999999999997,0.0,6.0,174.75
3399.75,travel_leg,BOT_36,RACK_608,1.0,EXIT_21,receiving_to_first_exit,receiving,EXIT_21,3362.5,3399.75,26.599999999999994,2.0,37.24999999999999,,,,,,,,,,,,,,,
3401.25,return_leg,BOT_10,RACK_598,1.0,EXIT_24,last_exit_to_return,EXIT_24,return,3334.5,3401.25,48.599999999999994,3.0,66.75,,,,,,,,,,,,,,,
3401.25,trip_completed,BOT_10,RACK_598,,,,,,,,,,,,,,,,1.0,1.0,3263.5,3401.25,137.75,97.39999999999999,131.75,0.0,6.0,137.75
3403.75,return_leg,BOT_37,RACK_576,1.0,EXIT_31,last_exit_to_return,EXIT_31,return,3272.25,3403.75,100.40000000000002,3.0,131.5,,,,,,,,,,,,,,,
3403.75,trip_completed,BOT_37,RACK_576,,,,,,,,,,,,,,,,1.0,1.0,3136.5,3403.75,267.25,201.00000000000006,261.25,0.0,6.0,267.25
3404.75,exit_stop_service,BOT_38,RACK_605,1.0,EXIT_25,,,,,,,,,0.0,3398.75,3404.75,6.0,1.0,,,,,,,,,,
3405.75,exit_stop_service,BOT_36,RACK_608,1.0,EXIT_21,,,,,,,,,0.0,3399.75,3405.75,6.0,1.0,,,,,,,,,,
3408.25,return_leg,BOT_25,RACK_585,1.0,EXIT_28,last_exit_to_return,EXIT_28,return,3304.5,3408.25,78.2,3.0,103.75,,,,,,,,,,,,,,,
3408.25,trip_completed,BOT_25,RACK_585,,,,,,,,,,,,,,,,1.0,1.0,3196.5,3408.25,211.75,156.60000000000002,205.75,0.0,6.0,211.75
3410.0,travel_leg,BOT_34,RACK_602,1.0,EXIT_28,receiving_to_first_exit,receiving,EXIT_28,3308.0,3410.0,78.4,2.0,102.0,,,,,,,,,,,,,,,
3410.125,return_leg,BOT_2,RACK_587,1.0,EXIT_12,last_exit_to_return,EXIT_12,return,3305.625,3410.125,78.8,3.0,104.49999999999999,,,,,,,,,,,,,,,
3410.125,trip_completed,BOT_2,RACK_587,,,,,,,,,,,,,,,,1.0,1.0,3200.0,3410.125,210.125,155.3,204.125,0.0,6.0,210.125
3416.0,exit_stop_service,BOT_34,RACK_602,1.0,EXIT_28,,,,,,,,,0.0,3410.0,3416.0,6.0,1.0,,,,,,,,,,
3425.0,travel_leg,BOT_19,RACK_606,1.0,EXIT_26,receiving_to_first_exit,receiving,EXIT_26,3341.5,3425.0,63.599999999999994,2.0,83.49999999999999,,,,,,,,,,,,,,,
3430.75,return_leg,BOT_15,RACK_599,1.0,EXIT_25,last_exit_to_return,EXIT_25,return,3354.75,3430.75,55.99999999999999,3.0,75.99999999999999,,,,,,,,,,,,,,,
3430.75,trip_completed,BOT_15,RACK_599,,,,,,,,,,,,,,,,1.0,1.0,3274.5,3430.75,156.25,112.19999999999999,150.24999999999997,0.0,6.0,156.25
3431.0,exit_stop_service,BOT_19,RACK_606,1.0,EXIT_26,,,,,,,,,0.0,3425.0,3431.0,6.0,1.0,,,,,,,,,,
3432.25,return_leg,BOT_11,RACK_590,1.0,EXIT_28,last_exit_to_return,EXIT_28,return,3328.5,3432.25,78.2,3.0,103.75,,,,,,,,,,,,,,,
3432.25,trip_completed,BOT_11,RACK_590,,,,,,,,,,,,,,,,1.0,1.0,3220.5,3432.25,211.75,156.60000000000002,205.75,0.0,6.0,211.75
3432.75,return_leg,BOT_18,RACK_595,1.0,EXIT_27,last_exit_to_return,EXIT_27,return,3338.25,3432.75,70.8,3.0,94.49999999999999,,,,,,,,,,,,,,,
3432.75,trip_completed,BOT_18,RACK_595,,,,,,,,,,,,,,,,1.0,1.0,3239.5,3432.75,193.25,141.8,187.25,0.0,6.0,193.25
3433.0,travel_leg,BOT_9,RACK_617,1.0,EXIT_20,receiving_to_first_exit,receiving,EXIT_20,3405.0,3433.0,19.2,2.0,27.999999999999996,,,,,,,,,,,,,,,
